id;tipoResiduo;direccion;longitud;latitud;nivelLlenado;alerta;fecha
1524464;envases;Plaza Rey;-3.69621153558084;40.4203056458343;0;;2021-08-01T01:46:56.000+0200
1524466;resto;Bulevar Indalecio Prieto CV Parra (Metro Valdebernardo);-3.62125562226594;40.4010033228383;2;;2021-08-02T05:19:51.000+0200
1524467;envases;Av. De La Peseta N°8 (Mcdonalds);-3.76546643036228;40.3682117695777;4;;2021-08-02T06:16:55.000+0200
1524468;resto;Arenal 16 (Al Lado Del Hotel Frente Joy Eslava);-3.70647085046283;40.4172668944589;0;;2021-08-02T06:15:09.000+0200
1524473;resto;Francos Rodríguez CV Doctor Federico Rubio Y Gali;-3.71289555764685;40.4576423793707;6;;2021-08-02T05:36:05.000+0200
1524443;envases;Av. De Los Andes N°50 (Eci Campo De Las Naciones);-3.618278;40.456734;0;;2021-08-02T06:16:17.000+0200
1524448;resto;Pz. Juan Malasaña CV Real De Arganda;-3.62142064585166;40.3798078848294;0;;2021-08-02T06:06:14.000+0200
1524449;envases;Plaza De Oriente (Frente Palacio Fla. 155);-3.71297183843087;40.41876585;0;;2021-08-02T06:53:28.000+0200
1524482;envases;Pz Independendia 5;-3.6882594355716;40.4204540969079;0;;2021-08-02T06:34:57.000+0200
1524481;envases;Pz Cibeles 4;-3.69222938066988;40.419664053027;4;;2021-08-02T06:44:08.000+0200
1524483;resto;Plaza De Armeria Entre Palacio Y Catedral;-3.71502373178332;40.416285622552;0;;2021-08-02T06:29:48.000+0200
1524484;resto;Mayor 33 (The Souvenirs Shop);-3.70773270294252;40.4161103864163;4;;2021-08-02T05:59:31.000+0200
1524489;envases;Plaza Armeria Entre Palacio Y Catedral Junto Fla.4;-3.71370191826108;40.4164785227476;4;;2021-08-02T05:40:56.000+0200
1524491;resto;Paseo Artilleros Junto Fla.27;-3.60914198119928;40.4048369359846;4;;2021-08-02T03:46:55.000+0200
1524492;resto;Travesía De Las Bringas CV Plaza De San Miguel;-3.70883953307895;40.4156459320373;0;;2021-08-02T06:57:32.000+0200
1524480;resto;Plaza De Oriente FTE. Carlos III FLA.48;-3.7114527603749;40.4180734587431;6;;2021-08-02T06:19:06.000+0200
1524310;envases;Plaza Antón Martín N°48;-3.69957533831789;40.4124349863091;0;;2021-08-02T06:19:55.000+0200
1524667;envases;P°Castellana 162;-3.68976018706312;40.4582430494784;2;;2021-08-02T04:26:49.000+0200
1524666;resto;Ronda Del Sur N°229;-3.665486;40.373326;0;;2021-08-02T05:38:56.000+0200
1524665;resto;Juan José Martinez Seco N°52 CV Martinez Oviol;-3.68880892890571;40.3516628184205;0;;2021-08-02T05:56:50.000+0200
1524669;resto;Monte Ulia CV Antonia Calas;-3.66920169256229;40.3979217915745;2;;2021-08-02T06:26:38.000+0200
1524674;envases;Blas Cabrera N°90;-3.76455178861467;40.3782745783256;0;;2021-08-02T05:49:28.000+0200
1524673;resto;José Del Hierro S/N (Parque El Calero);-3.65080655787514;40.4360851245463;0;;2021-08-02T05:26:36.000+0200
1524677;envases;Av. San Diego (Centro De Salud);-3.66410371619031;40.3825118004754;4;;2021-08-02T05:44:14.000+0200
1524680;resto;Arturo Soria N°126-128 (Arturo Soria Plaza);-3.65115452236098;40.44969485523;2;;2021-08-02T06:40:03.000+0200
1524684;resto;Av. Monforte De Lemos;-3.70633090352909;40.4791167388817;2;;2021-08-02T05:24:45.000+0200
1524672;resto;P° Extremadura N° 154;-3.7383722233988;40.4100930016124;2;;2021-08-02T06:05:41.000+0200
1524686;resto;Puerto Balbaran Jto. Canchas De Futbol;-3.65985707005592;40.3772619211225;0;;2021-08-01T23:17:35.000+0200
1524668;envases;Manuel Machado N°14 Alcampo;-3.65954178346868;40.4118704320203;0;;2021-08-02T06:06:36.000+0200
1524671;resto;Alberique CV Amposta (Metro Simancas);-3.62293162379571;40.4275839129406;2;;2021-08-02T06:28:40.000+0200
1524675;envases;Av. Pio XII (Salida Metro Fla.20);-3.6759765109068;40.4625320281851;0;;2021-08-02T06:36:57.000+0200
1524688;envases;P° De La Florida CV Mozart;-3.72496335273522;40.4246045808058;0;;2021-08-02T05:34:40.000+0200
1524695;resto;Serrano 47.;-3.68725538218315;40.4293489665857;4;;2021-08-02T06:49:21.000+0200
1524694;resto;Padre Piquer (Metro Campamento);-3.76834150151528;40.3945269303033;0;;2021-08-02T06:52:07.000+0200
1524700;envases;P°Extremadura N°113-115;-3.73558740190028;40.4109378780392;0;;2021-08-02T06:58:48.000+0200
1524698;resto;Av. Pio XII (Salida Metro Fla.20);-3.67597944053161;40.4625129426441;0;;2021-08-02T06:37:20.000+0200
1524701;envases;Pz Santa Cristina Nº4;-3.72714502611182;40.413890988284;4;;2021-08-02T06:12:52.000+0200
1524699;envases;Antonio Machado Junto Fla.58;-3.71916664329222;40.4659217015011;0;;2021-08-02T06:04:14.000+0200
1524707;envases;Serrano 201 Fla.311;-3.68096393385534;40.4526068265511;0;;2021-08-02T06:31:10.000+0200
1524708;envases;Pza. Mercurio FTE. Junta Municipal De Barajas;-3.57796150286256;40.4745195733555;0;;2021-08-02T05:45:07.000+0200
1524709;resto;Avda. Oporto N°53 CV C° Viejo De Leganes;-3.72781593592513;40.3861575711273;0;;2021-08-02T05:33:35.000+0200
1524711;resto;Alcalá FTE. Canillejas A Vicalvaro (Metro Torre Arias);-3.61712071531538;40.4437430058094;6;;2021-08-02T05:24:35.000+0200
1524710;resto;Glorieta Mar De Cristal N°13 (C.C Gran Via);-3.63881821334486;40.4694936112827;0;;2021-08-02T06:26:04.000+0200
1524714;envases;Av. De Guadalajara Junto. Fla. 16-18 (C.C Las Rosas);-3.62121398853633;40.419041122556;0;;2021-08-02T06:31:27.000+0200
1524715;resto;Doctor Reinosa CV Alfonso Rodriguez Castelao;-3.73240965214766;40.4813426374808;8;LLENA;2021-08-02T05:31:08.000+0200
1524717;envases;C° Viejo De Leganes N°97 CV Valle Del Oro;-3.72704062532812;40.3875437783454;0;;2021-08-02T06:45:29.000+0200
1524718;resto;Gral. Ricardos N° 138 CV Pedro Diez;-3.72869009841591;40.3906469651769;4;;2021-08-02T05:56:13.000+0200
1524719;envases;Aquitania Junto Fla.7 (C.C Las Rosas);-3.62053657763099;40.4179530473519;0;;2021-08-01T18:21:24.000+0200
1524724;resto;Oca N°23-25 (Mercadona);-3.73560665412978;40.3896670722918;2;;2021-08-02T06:22:05.000+0200
1524723;resto;Villardondiego CV Villacarlos;-3.60831095959677;40.4060438674702;4;;2021-08-02T05:59:59.000+0200
1524721;resto;C° Viejo De Leganes N°51;-3.72521644011514;40.3905419554037;0;;2021-08-02T06:42:39.000+0200
1524727;envases;Bustamante Con Juanmartin El Empecinado;-3.68825510627438;40.4005045606781;0;;2021-08-02T06:36:48.000+0200
1524728;resto;Plaza Mayor De Barajas N°16;-3.57700530590366;40.4736650517637;4;;2021-08-02T06:07:51.000+0200
1524731;resto;Gral. Ricardos N°128 CV Algorta;-3.72749992866718;40.3914351072447;0;;2021-08-02T05:30:35.000+0200
1524726;resto;Av. Monasterio De Silos Junto Fla.79 (Metro Montecarmelo);-3.69576422510783;40.5053481883215;6;;2021-08-02T06:31:26.000+0200
1524729;envases;Alcalá FTE. Canillejas A Vicalvaro (Metro Torre Arias);-3.61710204049797;40.443747873078;0;;2021-08-02T06:08:26.000+0200
1524734;envases;Plaza Mayor De Barajas N°16;-3.57698645662995;40.4736508440886;6;;2021-08-02T06:41:11.000+0200
1524742;envases;Senda Del Infante CV María De Maeztu;-3.72469188087754;40.4931423563396;2;;2021-08-02T06:38:04.000+0200
1524738;resto;Paseo Acacias 40 (Cercanias);-3.71127061501859;40.4025417735407;0;;2021-08-02T06:14:52.000+0200
1524744;resto;Guatavita N°1 (C.C Colombia);-3.63583300396202;40.4719171564819;2;;2021-08-02T06:44:30.000+0200
1524741;resto;Senda Del Infante CV María De Maeztu;-3.72466716244877;40.4931663471353;0;;2021-08-02T05:41:26.000+0200
1524745;envases;Finisterre N°46 FTE. Fla.59;-3.70289468114275;40.4804437434587;0;;2021-08-02T06:14:02.000+0200
1524743;resto;Bahía De Gando SN (Centro Comercial);-3.59283899970913;40.4651506062294;0;;2021-08-02T06:58:27.000+0200
1524746;resto;Av. Córdoba CV Marcelo Usera;-3.69924129835192;40.3874369473273;0;;2021-08-02T05:49:24.000+0200
1524740;envases;María Tudor N°37;-3.65821878052589;40.4978854931198;0;;2021-08-02T06:49:31.000+0200
1524747;resto;Gral. Ricardos N°123;-3.72702085247975;40.3915131461281;2;;2021-08-02T06:35:16.000+0200
1524748;resto;Camino De Ganapanes Junto Fla.57;-3.71585933392136;40.4761030192069;0;;2021-08-02T05:50:08.000+0200
